UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,Detected,Pile_Height,Top_X,Top_Y,Top_Z,Bot_X,Bot_Y,Bot_Z,Lean_East_Deg,Lean_North_Deg,Tracker_Slope_Pct,Elv_Dz_Deg,Abs_Elv_Dz,Bot_X_1ft,Bot_Y_1ft,Bot_Z_1ft
18468,366558.744,2262845.724,904.645,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18469,366585.248,2262845.78,904.466,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18470,366635.051,2262845.796,903.318,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18471,366661.613,2262845.792,901.686,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18472,366688.138,2262845.724,899.841,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18473,366714.651,2262845.827,897.562,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18474,366741.147,2262845.824,895.306,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18476,366767.75,2262845.743,893.797,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18490,366794.289,2262845.75,891.697,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18555,366794.292,2262865.343,893.25,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18809,366767.751,2262865.369,895.895,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18810,366741.172,2262865.293,897.065,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18811,366714.657,2262865.301,897.814,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18875,365874.018,2263508.827,899.336,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18876,365900.555,2263508.777,900.789,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18877,365927.15,2263508.765,901.257,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18878,365953.769,2263508.871,901.336,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18879,365980.341,2263508.766,900.456,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18880,366006.888,2263508.704,901.554,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18881,366033.569,2263508.712,902.554,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18882,366059.93,2263508.704,903.068,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18883,366109.915,2263508.785,902.52,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18884,366136.57,2263508.728,902.657,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18885,366163.066,2263508.724,903.072,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
18886,366189.684,2263508.745,903.277,BS_INV-17_B_S02,1/13/2026,,,,,,,,,,,,,,,,
