UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
400076,367373.96,2257344.028,886.162,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,400076,COMPLETED,,0.000396944,270.1302995,2025-12-12 11:21:29,,Doyle-2500-007 - Machine 8
400078,367374.01,2257363.521,886.2,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,400078,COMPLETED,,0.000555984,270.1246073,2025-12-12 11:23:18,,Doyle-2500-007 - Machine 8
500052,367329.716,2257370.737,891.172,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500052,INCOMPLETE_NO_FINISH_TIME,,0.001234676,,,,Doyle-2500-010 - Machine 1
500054,367329.682,2257357.102,891.522,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500054,INCOMPLETE_NO_FINISH_TIME,,0.002205486,,,,Doyle-2500-010 - Machine 1
500056,367326.098,2257363.3,890.907,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500056,INCOMPLETE_NO_FINISH_TIME,,0.002426146,,,,Doyle-2500-010 - Machine 1
500057,367326.145,2257370.572,891.418,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500057,INCOMPLETE_NO_FINISH_TIME,,0.001001794,,,,Doyle-2500-010 - Machine 1
500058,367326.157,2257375.888,891.993,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500058,INCOMPLETE_NO_FINISH_TIME,,0.000623958,,,,Doyle-2500-010 - Machine 1
500059,367326.118,2257381.145,891.898,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500059,INCOMPLETE_NO_FINISH_TIME,,0.000750498,,,,Doyle-2500-010 - Machine 1
500060,367326.127,2257389.986,891.248,BS_INV-25_S02.csv,BS_INV-25_T_S02,1/8/2026,,,,,,,,,,,500060,INCOMPLETE_NO_FINISH_TIME,,0.001313368,,,,Doyle-2500-010 - Machine 1
400234,365947.381,2261169.724,899.744,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,400234,COMPLETED,,0.003427894,274.2585225,2025-12-15 08:32:17,,Doyle-2500-011 - Machine 2
400236,365947.291,2261167.668,899.736,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,400236,COMPLETED,,0.001467014,273.7354651,2025-12-15 08:36:06,,Doyle-2500-011 - Machine 2
400238,365810.194,2261226.264,897.179,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,400238,COMPLETED,,0.003955012,273.500234,2025-12-12 11:14:14,,Doyle-2500-011 - Machine 2
400240,365810.166,2261206.724,896.884,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,400240,COMPLETED,,0.002584988,273.434272,2025-12-12 11:52:29,,Doyle-2500-011 - Machine 2
600231,365959.545,2261166.721,903.488,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600231,COMPLETED,,0.005684375,275.4017283,2025-12-15 08:11:49,,Doyle-2500-011 - Machine 2
600232,365948.618,2261166.794,903.169,Finn_INV-21-Z-02-S03_T.csv,Finn_INV 21-Z02-S03_T,1/2/2025,,,,,,,,,,,600232,COMPLETED,,0.001198403,275.3091633,2025-12-15 08:18:06,,Doyle-2500-011 - Machine 2
