UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
5662,366269.516,2260603.224,903.249,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5663,366296.206,2260603.234,903.452,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5664,366322.815,2260603.291,903.82,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5665,365847.568,2260583.716,897.088,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5666,365874.117,2260583.7,898.409,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5667,365900.674,2260583.714,899.233,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5668,365927.254,2260583.774,899.842,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5669,365953.812,2260583.752,900.318,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5670,366242.885,2260603.251,903.108,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5671,365980.32,2260583.705,900.92,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5672,366033.645,2260583.692,901.491,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5673,366060.207,2260583.702,901.851,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5674,366110.014,2260583.696,902.444,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5675,366136.586,2260583.718,902.691,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5676,366163.133,2260583.692,902.76,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5677,366189.772,2260583.835,902.913,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
5678,366216.401,2260583.713,903.027,LaRock_INV-20_T_S03.csv,BS_INV-20_T_S03,1/13/2026,,,,,,,,,,
