id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
400206,COMPLETED,,0.001295532,272.1236682,2025-12-06 13:38:57,,Doyle-2500-011 - Machine 2
400207,COMPLETED,0.001509919,0.00135125,273.1990174,2025-12-17 11:44:53,2025-12-17 11:41:41,Doyle-2500-033 - Machine 10
400208,COMPLETED,,0.003067396,274.4665332,2025-12-06 13:58:12,,Doyle-2500-011 - Machine 2
400210,COMPLETED,,0.001542188,272.0001913,2025-12-05 10:26:14,,Doyle-2500-011 - Machine 2
400211,COMPLETED,,0.001015324,272.2532382,2025-12-03 15:21:13,,Doyle-2500-011 - Machine 2
400212,COMPLETED,,0.003615856,272.0126131,2025-12-05 10:17:01,,Doyle-2500-011 - Machine 2
400213,COMPLETED,,0.000934051,272.2691197,2025-12-03 15:30:19,,Doyle-2500-011 - Machine 2
400214,COMPLETED,,0.001054387,271.5961098,2025-12-04 12:41:11,,Doyle-2500-011 - Machine 2
400215,COMPLETED,,0.000867801,269.9025205,2025-12-04 15:32:02,,Doyle-2500-011 - Machine 2
400216,COMPLETED,,0.000860648,271.4942559,2025-12-04 12:49:37,,Doyle-2500-011 - Machine 2
400217,COMPLETED,,0.000833924,269.8963974,2025-12-04 15:22:51,,Doyle-2500-011 - Machine 2
48453,COMPLETED,,0.003200428,272.6441323,2026-01-12 11:09:24,,Doyle-2500-010 - Machine 1
500181,COMPLETED,,0.001935336,271.9247498,2025-12-03 13:37:01,,Doyle-2500-011 - Machine 2
500182,COMPLETED,,0.001379213,271.96434,2025-12-03 13:25:53,,Doyle-2500-011 - Machine 2
500183,COMPLETED,,0.001870521,272.0125315,2025-12-03 13:18:11,,Doyle-2500-011 - Machine 2
500184,COMPLETED,,0.000960197,272.036511,2025-12-03 13:07:55,,Doyle-2500-011 - Machine 2
500185,COMPLETED,,0.015428137,272.1485409,2025-12-03 13:00:16,,Doyle-2500-011 - Machine 2
500186,COMPLETED,,0.003995891,272.1601273,2025-12-03 11:58:03,,Doyle-2500-011 - Machine 2
500187,COMPLETED,,0.001247662,272.1968688,2025-12-03 14:32:08,,Doyle-2500-011 - Machine 2
500188,COMPLETED,,0.000739421,272.1341257,2025-12-03 14:22:22,,Doyle-2500-011 - Machine 2
500189,COMPLETED,,0.001070706,272.0775178,2025-12-03 14:14:49,,Doyle-2500-011 - Machine 2
500190,COMPLETED,,0.000888194,272.0568882,2025-12-03 14:05:42,,Doyle-2500-011 - Machine 2
500191,COMPLETED,,0.001396412,271.9951113,2025-12-03 13:57:56,,Doyle-2500-011 - Machine 2
500192,COMPLETED,,0.001949271,271.9664481,2025-12-03 13:50:49,,Doyle-2500-011 - Machine 2
600205,COMPLETED,,0.005245741,272.8995968,2025-12-04 10:30:51,,Doyle-2500-011 - Machine 2
600206,COMPLETED,,0.001404792,272.8843824,2025-12-03 15:59:27,,Doyle-2500-011 - Machine 2
600207,COMPLETED,,0.000578472,272.9154101,2025-12-04 10:47:30,,Doyle-2500-011 - Machine 2
600208,COMPLETED,,0.000235,272.922573,2025-12-04 10:38:18,,Doyle-2500-011 - Machine 2
600209,COMPLETED,,0.000994074,272.9076321,2025-12-03 15:53:42,,Doyle-2500-011 - Machine 2
600210,COMPLETED,,0.000756644,272.9471188,2025-12-04 10:43:30,,Doyle-2500-011 - Machine 2
600211,COMPLETED,0.000871759,0.005504803,272.4260802,2025-12-16 16:49:57,2025-12-16 16:41:21,Doyle-2500-021 - Machine 4
600212,COMPLETED,,0.000800845,272.3836214,2025-12-04 13:19:44,,Doyle-2500-011 - Machine 2
600213,COMPLETED,,0.000866991,272.3939439,2025-12-04 13:23:14,,Doyle-2500-011 - Machine 2
600214,COMPLETED,0.003601042,0.002215949,272.4373188,2025-12-16 16:38:09,2025-12-16 16:34:57,Doyle-2500-021 - Machine 4
600215,COMPLETED,,0.000624248,272.5543152,2025-12-04 13:38:25,,Doyle-2500-011 - Machine 2
600216,COMPLETED,,0.000675972,272.5959345,2025-12-04 13:28:34,,Doyle-2500-011 - Machine 2
600217,COMPLETED,,0.000648646,272.6141761,2025-12-04 13:32:04,,Doyle-2500-011 - Machine 2
600218,COMPLETED,,0.000692755,272.5690213,2025-12-04 13:41:37,,Doyle-2500-011 - Machine 2
800003,INCOMPLETE_NO_FINISH_TIME,0.011486863,0.001945694,,,2026-01-12 10:50:45,Doyle-2500-010 - Machine 1
400218,COMPLETED,,0.003831771,277.7719428,2025-12-09 09:25:02,,Doyle-2500-011 - Machine 2
400219,COMPLETED,,0.003882431,276.264758,2025-12-06 14:30:04,,Doyle-2500-011 - Machine 2
400220,COMPLETED,,0.004141725,274.292759,2025-12-09 10:02:48,,Doyle-2500-011 - Machine 2
400221,COMPLETED,,0.00204515,272.42078,2025-12-06 13:31:35,,Doyle-2500-011 - Machine 2
400222,COMPLETED,,0.000634086,274.4516543,2025-12-06 14:05:54,,Doyle-2500-011 - Machine 2
400223,COMPLETED,,0.000802326,271.0268822,2025-12-06 13:16:51,,Doyle-2500-011 - Machine 2
400224,COMPLETED,,0.003201563,274.4954354,2025-12-08 16:09:11,,Doyle-2500-011 - Machine 2
400225,INCOMPLETE_NO_FINISH_TIME,,0,,,,Doyle-2500-011 - Machine 2
400226,COMPLETED,,0.001720683,278.06257,2025-12-06 14:41:44,,Doyle-2500-011 - Machine 2
400227,COMPLETED,,0.005598345,273.9932182,2025-12-09 07:33:41,,Doyle-2500-011 - Machine 2
400228,COMPLETED,,0.003724722,272.8637904,2025-12-05 14:23:42,,Doyle-2500-011 - Machine 2
400229,COMPLETED,,0.000729595,270.7560118,2025-12-05 13:40:42,,Doyle-2500-011 - Machine 2
500193,COMPLETED,,0.001706806,272.1098464,2025-12-11 11:08:15,,Doyle-2500-011 - Machine 2
500194,COMPLETED,,0.004014977,272.764988,2025-12-11 12:47:37,,Doyle-2500-011 - Machine 2
500195,COMPLETED,,0.004385544,272.7704744,2025-12-11 13:04:58,,Doyle-2500-011 - Machine 2
500196,COMPLETED,,0.003699919,272.0106671,2025-12-11 13:20:18,,Doyle-2500-011 - Machine 2
500197,COMPLETED,,0.005616262,272.019686,2025-12-11 13:47:53,,Doyle-2500-011 - Machine 2
500198,COMPLETED,,0.003131921,272.76918,2025-12-11 11:52:57,,Doyle-2500-011 - Machine 2
500199,COMPLETED,,0.006158206,272.7674587,2025-12-11 08:54:29,,Doyle-2500-011 - Machine 2
500200,COMPLETED,,0.003481227,272.7614748,2025-12-11 11:00:03,,Doyle-2500-011 - Machine 2
500201,COMPLETED,,0.00365397,272.7655219,2025-12-11 10:50:15,,Doyle-2500-011 - Machine 2
500202,COMPLETED,,0.003722014,272.7677924,2025-12-11 10:25:22,,Doyle-2500-011 - Machine 2
500203,COMPLETED,,0.001443148,271.9203225,2025-12-11 09:18:02,,Doyle-2500-011 - Machine 2
500204,COMPLETED,,0.00393265,272.7696068,2025-12-11 10:12:05,,Doyle-2500-011 - Machine 2
600219,COMPLETED,,0.00046603,275.0999034,2025-12-09 08:06:49,,Doyle-2500-011 - Machine 2
600220,COMPLETED,,0.001316273,275.0451749,2025-12-09 08:03:36,,Doyle-2500-011 - Machine 2
600221,COMPLETED,,0.000427442,275.1076394,2025-12-09 08:10:37,,Doyle-2500-011 - Machine 2
600222,COMPLETED,,0.000613785,275.0537102,2025-12-09 07:59:13,,Doyle-2500-011 - Machine 2
600223,COMPLETED,,0.000733773,275.1047327,2025-12-09 08:25:26,,Doyle-2500-011 - Machine 2
600224,COMPLETED,,0.000926863,275.1093803,2025-12-09 08:23:13,,Doyle-2500-011 - Machine 2
600225,COMPLETED,,0.000868935,275.1261187,2025-12-09 08:28:16,,Doyle-2500-011 - Machine 2
600226,COMPLETED,,0.002149236,275.0728024,2025-12-09 08:19:16,,Doyle-2500-011 - Machine 2
600227,COMPLETED,,0.000750532,273.9941914,2025-12-05 14:34:47,,Doyle-2500-011 - Machine 2
600228,COMPLETED,,0.000803484,273.8007649,2025-12-05 14:38:27,,Doyle-2500-011 - Machine 2
600229,COMPLETED,,0.000397731,273.8019339,2025-12-05 14:49:48,,Doyle-2500-011 - Machine 2
600230,COMPLETED,,0.00053581,273.9939813,2025-12-05 14:46:01,,Doyle-2500-011 - Machine 2
400230,COMPLETED,,0.001389005,275.1170407,2025-12-12 11:05:42,,Doyle-2500-020 - Machine 3
400231,COMPLETED,,0.005425428,274.1987717,2025-12-09 10:26:26,,Doyle-2500-011 - Machine 2
400232,COMPLETED,,0.003253044,273.2330282,2025-12-12 12:59:04,,Doyle-2500-011 - Machine 2
400233,COMPLETED,,0.000676736,271.0145667,2025-12-11 14:38:16,,Doyle-2500-011 - Machine 2
400234,COMPLETED,,0.003427894,274.2585225,2025-12-15 08:32:17,,Doyle-2500-011 - Machine 2
400235,INCOMPLETE_NO_FINISH_TIME,,0.002102106,,,,Doyle-2500-020 - Machine 3
400236,COMPLETED,,0.001467014,273.7354651,2025-12-15 08:36:06,,Doyle-2500-011 - Machine 2
400237,INCOMPLETE_NO_FINISH_TIME,,0.01347191,,,,Doyle-2500-020 - Machine 3
400238,COMPLETED,,0.003955012,273.500234,2025-12-12 11:14:14,,Doyle-2500-011 - Machine 2
400239,COMPLETED,,0.004067188,271.5724985,2025-12-12 08:33:12,,Doyle-2500-011 - Machine 2
400240,COMPLETED,,0.002584988,273.434272,2025-12-12 11:52:29,,Doyle-2500-011 - Machine 2
400241,COMPLETED,,0.003894988,271.472386,2025-12-11 15:02:52,,Doyle-2500-011 - Machine 2
500205,COMPLETED,,0.001131053,272.9235956,2025-12-15 10:30:20,,Doyle-2500-011 - Machine 2
500206,INCOMPLETE_NO_FINISH_TIME,,0.005876343,,,,Doyle-2500-011 - Machine 2
500207,COMPLETED,,0.002407951,272.699581,2025-12-15 10:05:55,,Doyle-2500-011 - Machine 2
500208,COMPLETED,,0.00175853,273.2618894,2025-12-15 09:56:07,,Doyle-2500-011 - Machine 2
500209,COMPLETED,,0.001518912,272.6888615,2025-12-15 09:31:14,,Doyle-2500-011 - Machine 2
500210,COMPLETED,,0.001752176,273.3006894,2025-12-15 11:34:27,,Doyle-2500-011 - Machine 2
500211,COMPLETED,,0.001539398,273.2130405,2025-12-15 11:52:12,,Doyle-2500-011 - Machine 2
500212,COMPLETED,,0.001616701,272.7327638,2025-12-15 12:04:26,,Doyle-2500-011 - Machine 2
500213,COMPLETED,,0.001813067,273.3615243,2025-12-15 13:04:30,,Doyle-2500-011 - Machine 2
500214,COMPLETED,,0.001412245,273.2145997,2025-12-15 13:25:36,,Doyle-2500-011 - Machine 2
500215,COMPLETED,,0.001467697,272.6686034,2025-12-15 11:21:43,,Doyle-2500-011 - Machine 2
500216,INCOMPLETE_NO_FINISH_TIME,,0.001672245,,,,Doyle-2500-011 - Machine 2
600231,COMPLETED,,0.005684375,275.4017283,2025-12-15 08:11:49,,Doyle-2500-011 - Machine 2
600232,COMPLETED,,0.001198403,275.3091633,2025-12-15 08:18:06,,Doyle-2500-011 - Machine 2
600233,COMPLETED,,0.001248079,275.3739962,2025-12-15 08:15:13,,Doyle-2500-011 - Machine 2
600234,COMPLETED,,0.001042639,275.4000759,2025-12-15 08:45:02,,Doyle-2500-011 - Machine 2
600235,COMPLETED,,0.001636007,275.3685609,2025-12-15 08:42:03,,Doyle-2500-011 - Machine 2
600236,COMPLETED,,0.000377662,275.4570592,2025-12-15 08:47:19,,Doyle-2500-011 - Machine 2
600237,COMPLETED,,0.003233299,274.5425123,2025-12-12 11:41:57,,Doyle-2500-011 - Machine 2
600238,COMPLETED,,0.001957662,274.4268642,2025-12-12 11:34:40,,Doyle-2500-011 - Machine 2
600239,COMPLETED,,0.001945417,274.5334219,2025-12-12 11:59:26,,Doyle-2500-011 - Machine 2
