29788,367028.043,2261149.219,919.718,
29789,367054.568,2261149.062,922.328,
29790,367104.267,2261149.185,916.591,
29791,367130.821,2261149.234,915.516,
29792,367157.326,2261149.194,914.708,
29793,367183.876,2261149.137,913.997,
29794,367210.957,2261149.371,913.203,
29795,367237.121,2261149.405,912.503,
29796,367263.631,2261149.188,911.989,
29845,366894.994,2261149.210,922.244,
29877,366868.402,2261149.182,921.781,
30580,367157.277,2260778.788,898.855,
30581,367183.831,2260778.747,897.327,
30582,367210.340,2260778.755,895.583,
30583,367236.998,2260778.747,894.255,
30584,367263.485,2260778.730,893.209,
30585,366868.548,2260759.240,915.764,
30586,366895.106,2260759.209,913.965,
30587,366921.633,2260759.182,911.963,
30588,366948.155,2260759.236,910.239,
30589,366974.764,2260759.247,908.835,
30590,367001.463,2260759.193,907.716,
30591,367027.934,2260759.201,906.635,
30592,367054.205,2260759.170,905.322,
30593,367130.733,2260778.757,900.248,
30594,367104.145,2260759.220,901.675,
30595,367157.320,2260759.270,898.447,
30596,367183.879,2260759.243,896.828,
30597,367210.275,2260759.269,894.940,
30598,367236.943,2260759.165,893.637,
30599,367263.502,2260759.181,892.295,
30600,366868.646,2260739.687,914.999,
30601,366895.255,2260739.745,913.310,
30602,366921.687,2260739.738,911.436,
30603,366948.260,2260739.772,909.624,
30604,366974.719,2260739.769,908.101,
30605,367001.359,2260739.783,907.061,
30606,367027.881,2260739.752,906.031,
30607,367054.575,2260739.765,904.732,
30608,367130.767,2260759.221,899.866,
30610,367104.284,2260778.760,902.128,
30611,367027.985,2260778.778,907.260,
30625,367054.516,2260778.773,905.784,
30634,366868.666,2260778.783,916.378,
30635,366895.162,2260778.768,914.461,
30636,366921.624,2260778.657,912.550,
30637,366948.173,2260778.757,910.762,
30638,366974.795,2260778.770,909.432,
30639,367001.273,2260778.682,908.415,
30641,367104.180,2260739.757,901.307,
30769,367130.706,2260739.748,899.489,
30770,367183.808,2260739.715,896.473,
30802,367001.320,2260564.278,901.341,
30803,367027.916,2260564.311,900.216,
30804,367054.476,2260564.241,898.807,
30805,367104.108,2260564.238,895.703,
30806,367130.730,2260564.227,894.345,
30807,367157.201,2260564.140,893.251,
30808,367183.831,2260564.283,892.328,
30809,367210.406,2260564.223,890.807,
30810,367236.968,2260564.244,889.160,
30811,367263.576,2260564.298,887.181,
30812,366868.376,2260544.752,904.899,
30813,366895.076,2260544.753,903.639,
30814,366921.586,2260544.787,902.714,
30816,366948.204,2260544.797,902.060,
30817,367001.310,2260544.769,900.403,
