UPN,N_Y,E_X,Elv_Z,Source,Data_Scanned 
31075,366155.1445,2256505.093,887.7207387,BS_INV-28_T_S01,1/28/2026
47859,366130.2279,2256504.947,888.140384,BS_INV-28_T_S01,1/28/2026
31076,366105.3357,2256505.098,888.756361,BS_INV-28_T_S01,1/28/2026
31077,366078.7672,2256505.028,888.9888291,BS_INV-28_T_S01,1/28/2026
31078,366052.2068,2256505.06,889.3638652,BS_INV-28_T_S01,1/28/2026
31079,366025.6859,2256505.05,889.5025686,BS_INV-28_T_S01,1/28/2026
31080,365998.9783,2256505.052,889.6936786,BS_INV-28_T_S01,1/28/2026
31081,365972.4406,2256504.99,889.6103883,BS_INV-28_T_S01,1/28/2026
31082,365945.8257,2256505.032,889.5687289,BS_INV-28_T_S01,1/28/2026
31083,365919.1805,2256505.039,889.3501741,BS_INV-28_T_S01,1/28/2026
15066,365580.1601,2256914.591,887.4259854,BS_INV-28_T_S01,1/28/2026
47455,366130.1346,2256738.97,890.4456721,BS_INV-28_T_S01,1/28/2026
45634,365892.6194,2256505.091,889.2533412,BS_INV-28_T_S01,1/28/2026
42534,366248.6098,2256485.518,887.071053,BS_INV-28_T_S01,1/28/2026
25222,366105.222,2256739.046,890.4938236,BS_INV-28_T_S01,1/28/2026
42535,366226.2857,2256485.524,887.0608672,BS_INV-28_T_S01,1/28/2026
25221,366082.9824,2256738.999,890.5746897,BS_INV-28_T_S01,1/28/2026
31062,366204.0097,2256485.51,886.9281374,BS_INV-28_T_S01,1/28/2026
31063,366177.377,2256485.529,887.2562806,BS_INV-28_T_S01,1/28/2026
25220,366056.4174,2256739.013,890.582414,BS_INV-28_T_S01,1/28/2026
31064,366155.1781,2256485.528,887.4287446,BS_INV-28_T_S01,1/28/2026
41367,366034.1671,2256739.012,890.7063526,BS_INV-28_T_S01,1/28/2026
47875,366130.211,2256485.461,887.7288852,BS_INV-28_T_S01,1/28/2026
41366,366011.8539,2256739.006,890.782468,BS_INV-28_T_S01,1/28/2026
31065,366105.355,2256485.557,888.1890923,BS_INV-28_T_S01,1/28/2026
41373,366367.8172,2256719.49,888.2658196,BS_INV-28_T_S01,1/28/2026
31066,366078.708,2256485.547,888.6697962,BS_INV-28_T_S01,1/28/2026
41372,366341.148,2256719.505,888.3804867,BS_INV-28_T_S01,1/28/2026
31067,366052.1303,2256485.543,888.9313834,BS_INV-28_T_S01,1/28/2026
25176,366314.631,2256719.504,888.5379975,BS_INV-28_T_S01,1/28/2026
31068,366025.6497,2256485.557,889.1894011,BS_INV-28_T_S01,1/28/2026
25175,366287.958,2256719.504,888.8040073,BS_INV-28_T_S01,1/28/2026
15065,365553.5835,2256914.614,887.1606284,BS_INV-28_T_S01,1/28/2026
25174,366261.4407,2256719.491,889.071481,BS_INV-28_T_S01,1/28/2026
15064,365526.9492,2256914.595,886.9930044,BS_INV-28_T_S01,1/28/2026
25173,366234.8792,2256719.496,889.347466,BS_INV-28_T_S01,1/28/2026
