UPN,N_Y,E_X,Elv_Z,Source,Date_Scanned,,,,,,,,,
2245,367146.286,2257364.541,886.702,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2246,367172.703,2257364.299,887.089,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2294,367217.54,2257344.865,887.82,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2295,367195.186,2257344.979,887.613,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2296,367172.707,2257344.935,887.289,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2297,367146.39,2257345.153,886.709,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2298,367124.145,2257344.982,886.448,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2299,367074.104,2257345.081,886.237,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2301,367047.688,2257345.021,886.403,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2302,366994.431,2257345.07,886.225,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2303,366967.897,2257345.006,886.394,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2304,366941.277,2257345.027,886.208,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2305,366914.685,2257345.029,886.171,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2306,366888.103,2257345.076,886.288,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2307,366861.546,2257344.99,886.38,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2308,367217.464,2257364.44,888.122,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2309,367195.113,2257364.427,887.634,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
2310,367021.046,2257345.01,886.414,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5771,367504.883,2256740.427,884.082,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5807,367504.905,2256759.961,885.204,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5815,367099.126,2256642.934,889.124,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5816,367099.071,2256662.402,889.065,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5817,367099.169,2257306.058,887.721,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5818,367099.178,2257325.528,886.736,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5835,367099.16,2257442.575,886.429,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5879,367099.219,2257345.061,886.156,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5880,367099.177,2257364.524,886.584,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
5919,367099.132,2257423.046,886.527,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13786,367025.249,2256798.873,888.317,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13787,367025.187,2256857.465,887.882,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13788,367051.873,2256857.454,887.707,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13789,367074.172,2256857.4,887.386,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13790,367123.968,2256857.506,887.295,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13791,367150.496,2256857.51,887.151,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13792,367177.11,2256857.429,887.051,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13793,367203.886,2256857.404,886.844,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13794,367230.396,2256857.425,887.096,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13795,367256.996,2256857.458,887.237,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13796,367283.607,2256857.408,887.161,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13797,367310.175,2256857.415,887.229,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13798,367025.407,2256876.937,887.732,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
13799,367051.88,2256876.916,887.478,BS_INV-25_T_S02,1/8/2026,,,,,,,,,
