UPN,N_Y,E_X,Elv_Z,Source
20202,366868.355,2261851.327,911.442,BS_INV-14_T_S01
20203,366894.962,2261851.331,912.192,BS_INV-14_T_S01
20204,366921.469,2261851.348,912.937,BS_INV-14_T_S01
20205,366948.073,2261851.325,913.774,BS_INV-14_T_S01
20206,366974.74,2261851.288,914.749,BS_INV-14_T_S01
20207,367027.887,2261831.75,915.813,BS_INV-14_T_S01
20208,366948.133,2261929.213,913.438,BS_INV-14_T_S01
20209,366921.575,2261929.264,912.504,BS_INV-14_T_S01
20210,366894.98,2261929.226,911.757,BS_INV-14_T_S01
26000,366895.099,2261890.266,912.145,BS_INV-14_T_S01
26001,366921.659,2261890.236,913.058,BS_INV-14_T_S01
26002,366948.292,2261890.282,914.141,BS_INV-14_T_S01
26003,366974.785,2261890.173,915.355,BS_INV-14_T_S01
26004,367001.33,2261890.207,916.218,BS_INV-14_T_S01
26005,367027.911,2261890.2,916.876,BS_INV-14_T_S01
26006,367054.338,2261890.228,917.173,BS_INV-14_T_S01
26007,367104.341,2261890.19,917.46,BS_INV-14_T_S01
26008,367130.943,2261890.232,917.848,BS_INV-14_T_S01
26009,367157.387,2261890.196,918.098,BS_INV-14_T_S01
26010,367184.078,2261890.211,918.427,BS_INV-14_T_S01
26011,367210.677,2261890.189,918.528,BS_INV-14_T_S01
26012,367237.246,2261890.26,918.253,BS_INV-14_T_S01
26014,367263.877,2261890.143,918.197,BS_INV-14_T_S01
28823,366868.478,2261695.243,910.958,BS_INV-14_T_S01
28824,366895.063,2261695.251,911.745,BS_INV-14_T_S01
28825,366921.62,2261695.243,912.545,BS_INV-14_T_S01
28987,366948.228,2261695.243,913.247,BS_INV-14_T_S01
29497,366974.79,2261695.241,914.214,BS_INV-14_T_S01
29498,367027.914,2261695.166,916.381,BS_INV-14_T_S01
30005,367001.223,2261695.18,915.198,BS_INV-14_T_S01
30135,367054.497,2261675.71,918.073,BS_INV-14_T_S01
30136,367104.342,2261675.718,919.499,BS_INV-14_T_S01
30137,367130.917,2261675.763,919.853,BS_INV-14_T_S01
30138,367157.44,2261675.715,920.015,BS_INV-14_T_S01
30139,367184.148,2261675.701,919.723,BS_INV-14_T_S01
30140,367210.691,2261675.807,919.167,BS_INV-14_T_S01
30141,367237.135,2261675.728,918.231,BS_INV-14_T_S01
30142,367263.738,2261675.69,917.073,BS_INV-14_T_S01
30143,367290.358,2261675.671,916.068,BS_INV-14_T_S01
30160,366868.418,2261656.25,911.34,BS_INV-14_T_S01
30161,366894.994,2261656.222,912.061,BS_INV-14_T_S01
30162,367027.909,2261675.786,916.851,BS_INV-14_T_S01
30163,367001.371,2261675.804,915.522,BS_INV-14_T_S01
30164,366974.748,2261675.732,914.501,BS_INV-14_T_S01
30165,366948.154,2261675.734,913.618,BS_INV-14_T_S01
30166,367054.494,2261695.204,917.483,BS_INV-14_T_S01
30167,367104.212,2261695.217,919.025,BS_INV-14_T_S01
30168,367130.881,2261695.194,919.332,BS_INV-14_T_S01
30169,367157.438,2261695.267,919.356,BS_INV-14_T_S01
30170,367184.166,2261695.174,919.056,BS_INV-14_T_S01
30171,367210.771,2261695.257,918.507,BS_INV-14_T_S01
30172,367237.238,2261695.161,917.69,BS_INV-14_T_S01
30173,367263.778,2261695.196,916.686,BS_INV-14_T_S01
30174,367290.332,2261695.159,915.906,BS_INV-14_T_S01
30179,366921.645,2261656.199,913.16,BS_INV-14_T_S01
30191,366868.49,2261675.736,911.192,BS_INV-14_T_S01
30192,366894.956,2261675.774,911.987,BS_INV-14_T_S01
30193,366921.639,2261675.741,912.831,BS_INV-14_T_S01
30195,366948.27,2261656.187,914.095,BS_INV-14_T_S01
30196,366974.652,2261656.246,914.938,BS_INV-14_T_S01
30197,367001.357,2261656.259,916.093,BS_INV-14_T_S01
30198,367027.774,2261636.76,917.979,BS_INV-14_T_S01
30199,367054.437,2261636.764,918.846,BS_INV-14_T_S01
30200,367104.26,2261636.757,919.683,BS_INV-14_T_S01
30201,367130.878,2261636.764,919.96,BS_INV-14_T_S01
30202,367157.464,2261636.745,920.118,BS_INV-14_T_S01
30203,367183.932,2261636.735,920.076,BS_INV-14_T_S01
30204,367210.565,2261636.803,919.669,BS_INV-14_T_S01
30205,367237.169,2261636.788,919.022,BS_INV-14_T_S01
30206,367263.72,2261636.777,918.115,BS_INV-14_T_S01
30207,367290.278,2261636.788,916.812,BS_INV-14_T_S01
30211,367001.298,2261636.719,916.907,BS_INV-14_T_S01
30228,366974.715,2261636.77,915.708,BS_INV-14_T_S01
30229,366921.587,2261636.75,913.348,BS_INV-14_T_S01
30230,367027.843,2261656.241,917.372,BS_INV-14_T_S01
30231,367054.472,2261656.151,918.643,BS_INV-14_T_S01
30232,367104.3,2261656.183,920.065,BS_INV-14_T_S01
30233,367130.844,2261656.162,920.397,BS_INV-14_T_S01
30234,367157.538,2261656.206,920.367,BS_INV-14_T_S01
30235,367184.039,2261656.224,920.166,BS_INV-14_T_S01
30236,367210.79,2261656.252,919.617,BS_INV-14_T_S01
30237,367237.249,2261656.262,918.78,BS_INV-14_T_S01
30238,367263.87,2261656.267,917.682,BS_INV-14_T_S01
30239,367290.355,2261656.219,916.341,BS_INV-14_T_S01
30243,366948.187,2261636.772,914.432,BS_INV-14_T_S01
30256,366868.456,2261636.813,911.488,BS_INV-14_T_S01
30257,366895.101,2261636.807,912.324,BS_INV-14_T_S01
34564,366868.358,2261812.262,911.786,BS_INV-14_T_S01
34565,366894.938,2261812.274,912.453,BS_INV-14_T_S01
34566,366921.634,2261812.269,913.118,BS_INV-14_T_S01
34567,366948.147,2261812.276,913.768,BS_INV-14_T_S01
34568,366974.788,2261812.258,914.433,BS_INV-14_T_S01
34570,367001.191,2261812.278,915.107,BS_INV-14_T_S01
34571,367054.488,2261812.274,916.392,BS_INV-14_T_S01
34584,367027.866,2261812.265,915.693,BS_INV-14_T_S01
38983,367290.368,2261714.679,915.823,BS_INV-14_T_S01
38984,367317.053,2261714.846,915.09,BS_INV-14_T_S01
38985,367290.327,2261734.346,915.513,BS_INV-14_T_S01
38986,367316.987,2261734.366,914.86,BS_INV-14_T_S01
38987,367290.354,2261753.728,915.345,BS_INV-14_T_S01
38988,367316.989,2261753.78,914.566,BS_INV-14_T_S01
38989,367290.34,2261773.242,915.464,BS_INV-14_T_S01
38990,367316.909,2261773.256,914.616,BS_INV-14_T_S01
38991,367290.448,2261792.673,915.663,BS_INV-14_T_S01
38992,367317.012,2261792.777,914.973,BS_INV-14_T_S01
39057,367290.389,2261831.84,916.536,BS_INV-14_T_S01
39058,366868.485,2261909.702,911.17,BS_INV-14_T_S01
39060,367317.036,2261831.791,916.056,BS_INV-14_T_S01
39061,367290.425,2261851.298,916.992,BS_INV-14_T_S01
39062,367317.014,2261851.321,916.806,BS_INV-14_T_S01
39473,366841.919,2261909.67,910.534,BS_INV-14_T_S01
39756,366841.837,2262026.74,908.39,BS_INV-14_T_S01
39757,366868.442,2262026.744,909.32,BS_INV-14_T_S01
39758,366841.909,2262007.29,908.859,BS_INV-14_T_S01
39759,366868.408,2262007.317,909.714,BS_INV-14_T_S01
39881,366868.472,2261987.734,910.245,BS_INV-14_T_S01
39883,366868.518,2261968.235,910.584,BS_INV-14_T_S01
40472,367290.479,2261870.843,917.602,BS_INV-14_T_S01
40473,367316.966,2261870.835,917.569,BS_INV-14_T_S01
40699,366841.87,2261929.236,910.284,BS_INV-14_T_S01
40700,366868.466,2261929.216,911.031,BS_INV-14_T_S01
40701,366841.875,2261948.714,909.931,BS_INV-14_T_S01
40702,366868.422,2261948.728,910.706,BS_INV-14_T_S01
40703,366841.911,2261968.192,909.797,BS_INV-14_T_S01
40956,366841.804,2261987.771,909.421,BS_INV-14_T_S01
42039,366841.952,2261890.207,910.625,BS_INV-14_T_S01
42040,366868.505,2261890.246,911.371,BS_INV-14_T_S01
42041,367290.385,2261890.153,918.433,BS_INV-14_T_S01
42042,367316.988,2261890.206,918.497,BS_INV-14_T_S01
44027,367316.808,2262007.203,921.344,BS_INV-14_T_S01
44028,367316.609,2262026.863,920.636,BS_INV-14_T_S01
44455,366841.886,2261870.796,910.795,BS_INV-14_T_S01
44483,366841.894,2261851.322,910.758,BS_INV-14_T_S01
44484,366841.759,2261831.79,910.85,BS_INV-14_T_S01
44485,367317.033,2261909.742,919.217,BS_INV-14_T_S01
44486,367316.95,2261987.709,921.53,BS_INV-14_T_S01
44487,367317.01,2261968.303,921.367,BS_INV-14_T_S01
44489,367317.003,2261929.209,920.326,BS_INV-14_T_S01
44504,367316.889,2261597.651,916.193,BS_INV-14_T_S01
44505,366841.891,2261597.678,910.727,BS_INV-14_T_S01
44510,367316.891,2261617.197,915.804,BS_INV-14_T_S01
44511,366841.859,2261617.28,910.665,BS_INV-14_T_S01
44616,366841.803,2261792.785,910.999,BS_INV-14_T_S01
44617,366841.916,2261773.287,910.777,BS_INV-14_T_S01
44618,366841.875,2261753.824,910.574,BS_INV-14_T_S01
44619,366841.865,2261734.319,910.457,BS_INV-14_T_S01
44620,366841.8,2261714.745,910.358,BS_INV-14_T_S01
44806,366841.884,2261695.244,910.33,BS_INV-14_T_S01
44822,367316.895,2261695.183,915.267,BS_INV-14_T_S01
44862,366841.905,2261675.77,910.403,BS_INV-14_T_S01
44907,367316.899,2261636.748,915.548,BS_INV-14_T_S01
44908,366841.84,2261636.789,910.587,BS_INV-14_T_S01
44911,367316.904,2261656.251,915.39,BS_INV-14_T_S01
44912,366841.878,2261656.238,910.422,BS_INV-14_T_S01
44915,367317.026,2261675.746,915.45,BS_INV-14_T_S01
45571,366841.829,2261812.341,910.985,BS_INV-14_T_S01
