UPN,Northing,Easting,Elevation
8514,365584.8557,2263586.772,902.2606133
46161,365559.9496,2263586.772,902.8651342
8515,365535.046,2263586.772,903.5635331
8516,365508.4572,2263586.772,904.0073198
8517,365481.8651,2263586.772,904.149424
8518,365455.2729,2263586.772,904.0033709
8519,365428.6808,2263586.772,904.1590008
8521,365402.0923,2263586.772,904.6163132
8535,365375.5106,2263586.772,905.375308
39145,365348.9393,2263586.772,906.4359854
39146,365322.3713,2263586.772,907.5808589
39256,365678.2041,2263606.272,901.8390089
39190,365655.9525,2263606.272,901.9682589
8546,365633.7008,2263606.272,902.0524376
8547,365607.1082,2263606.272,902.0132727
8548,365584.8574,2263606.272,902.2329405
46164,365559.9496,2263606.272,902.7615159
8549,365535.0447,2263606.272,903.4115757
8550,365508.4551,2263606.272,903.8037654
8551,365481.8627,2263606.272,903.8942726
8553,365455.271,2263606.272,903.6830964
8567,365428.6786,2263606.272,903.773578
8554,365402.089,2263606.272,904.1657421
8555,365375.5056,2263606.272,904.8595886
39179,365348.9297,2263606.272,905.7987089
39134,365322.3562,2263606.272,906.8071089
2133,365797.5393,2262982.272,906.6555457
2134,365770.9472,2262982.272,906.81213
2153,365744.3551,2262982.272,906.6670322
2152,365717.7664,2262982.272,906.220252
2151,365691.1802,2262982.272,905.6343
2150,365664.5903,2262982.272,905.2636791
2149,365637.999,2262982.272,905.0134879
2148,365611.4066,2262982.272,905.0649791
2147,365584.8162,2262982.272,905.4035
5871,365559.9051,2262982.272,905.7411853
2146,365534.9935,2262982.272,906.0409112
2145,365508.401,2262982.272,906.0591554
2144,365481.81,2262982.272,905.7757172
2143,365455.2239,2262982.272,905.1905943
2142,365428.6329,2262982.272,904.9007901
2141,365402.0405,2262982.272,904.8731
2140,365375.448,2262982.272,904.8945
2139,365348.8557,2262982.272,904.7794792
2138,365322.2638,2262982.272,904.9661411
2487,365678.2059,2263859.772,903.0726105
2488,365655.9583,2263859.772,903.5169188
2489,365633.7073,2263859.772,903.7087855
2426,365607.1148,2263859.772,903.6363962
2469,365584.8629,2263859.772,903.6197974
5891,365559.9496,2263859.772,903.5418974
2425,365535.0384,2263859.772,903.2123374
2379,365508.4504,2263859.772,902.7228977
2359,365481.8586,2263859.772,902.5336134
2360,365455.2695,2263859.772,902.0975
2361,365428.6774,2263859.772,901.9630705
2362,365402.0849,2263859.772,902.0010974
2363,365375.4924,2263859.772,902.0450974
2364,365348.9001,2263859.772,902.1404974
2365,365322.3076,2263859.772,902.0908474
44728,366322.5673,2263118.772,916.4994105
18826,366296.0197,2263118.772,914.9548184
18825,366269.4563,2263118.772,913.7116951
18824,366242.8805,2263118.772,912.7702541
18823,366216.3038,2263118.772,911.8500599
18822,366189.7225,2263118.772,911.0800642
18821,366163.1414,2263118.772,910.3013194
18820,366136.5531,2263118.772,909.824257
18819,366109.9612,2263118.772,909.6488366
46974,366085.0481,2263118.772,909.7670879
18818,366060.135,2263118.772,909.8916238
18817,366033.5453,2263118.772,910.2789155
18816,366006.953,2263118.772,910.3651788
18815,365980.3612,2263118.772,910.1497586
18814,365953.7738,2263118.772,909.6326569
18813,365927.1939,2263118.772,908.8138725
18812,365900.6156,2263118.772,907.9451662
18839,365874.0291,2263118.772,907.3781423
44744,365847.4378,2263118.772,907.1122684
44742,366322.5611,2263138.272,916.5536071
18874,366296.0152,2263138.272,914.9797463
18873,366269.4531,2263138.272,913.7075676
18872,366242.8783,2263138.272,912.7370715
18856,366216.3031,2263138.272,911.7748104
18838,366189.7235,2263138.272,910.9465944
18837,366163.1418,2263138.272,910.1908648
18836,366136.5532,2263138.272,909.7366122
18835,366109.9611,2263138.272,909.5840419
46973,366085.0481,2263138.272,909.723739
18834,366060.1362,2263138.272,909.9947333
18833,366033.5453,2263138.272,910.288076
18832,366006.9528,2263138.272,910.2797364
18831,365980.362,2263138.272,909.9702578
18830,365953.7765,2263138.272,909.3599107
18829,365927.1996,2263138.272,908.4478812
18828,365900.6293,2263138.272,907.3623063
18827,365874.0484,2263138.272,906.5784137
44743,365847.4602,2263138.272,906.0954307
44740,366322.5568,2263157.772,916.5120678
18922,366296.0128,2263157.772,914.9055562
18935,366269.4524,2263157.772,913.5999568
18921,366242.8789,2263157.772,912.5960398
18919,366216.3034,2263157.772,911.6416102
18918,366189.7244,2263157.772,910.7940509
18917,366163.1421,2263157.772,910.0575601
18916,366136.5532,2263157.772,909.6227517
18915,366109.961,2263157.772,909.4896258
46972,366085.0481,2263157.772,909.6475394
18914,366060.1366,2263157.772,909.9535348
18913,366033.5451,2263157.772,910.1833139
18912,366006.9527,2263157.772,910.1114106
18911,365980.3627,2263157.772,909.7378235
18910,365953.7788,2263157.772,909.0627274
18909,365927.2042,2263157.772,908.0860501
18908,365900.6425,2263157.772,906.8076904
18907,365874.072,2263157.772,905.7257813
44741,365847.4908,2263157.772,904.9455513
44738,366322.5569,2263177.272,916.3955327
18888,366296.0091,2263177.272,914.8533362
18905,366269.45,2263177.272,913.5209817
18920,366242.8787,2263177.272,912.4611377
18906,366216.3038,2263177.272,911.4892036
18934,366189.7247,2263177.272,910.6471109
18933,366163.1422,2263177.272,909.9170335
18932,366136.5532,2263177.272,909.4878291
