UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned 
600271,365955.413,2263296.21,907.5157,INV 24 Design Points.csv,,,,,,,,,,,,
600272,365950.813,2263296.21,907.4103,INV 24 Design Points.csv,,,,,,,,,,,,
600273,365960.013,2263296.21,907.5783,INV 24 Design Points.csv,,,,,,,,,,,,
600274,365809.022,2263311.835,905.7144,INV 24 Design Points.csv,,,,,,,,,,,,
600275,365804.422,2263311.835,905.7419,INV 24 Design Points.csv,,,,,,,,,,,,
600276,365811.322,2263313.71,905.8656,INV 24 Design Points.csv,,,,,,,,,,,,
600277,365804.422,2263313.71,905.7752,INV 24 Design Points.csv,,,,,,,,,,,,
600278,365811.322,2263350.834,906.1213,INV 24 Design Points.csv,,,,,,,,,,,,
600279,365804.422,2263350.834,905.5968,INV 24 Design Points.csv,,,,,,,,,,,,
600280,365804.422,2263352.709,905.6166,INV 24 Design Points.csv,,,,,,,,,,,,
600281,365811.322,2263352.709,906.059,INV 24 Design Points.csv,,,,,,,,,,,,
700005,365733.978,2263857.079,899.756,INV 24 Design Points.csv,,,,,,,,,,,,
800006,365909.175,2263340.583,900.2608,INV 24 Design Points.csv,,,,,,,,,,,,
400194,365560.964,2259708.67,896.336,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400195,365560.933,2259040.908,895.008,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400197,366084.059,2259040.797,895.457,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400199,366087.554,2259393.298,891.69,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400201,366087.541,2259395.309,891.641,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400202,365810.103,2259393.336,893.837,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400203,365557.441,2259393.229,893.243,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400204,365810.052,2259373.778,893.389,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400205,365557.448,2259373.749,892.162,INV-18-S01.csv,BS_INV-18_T_S01,1/28/2026,,,,,,,,,,
400091,367100.01,2259219.51,894.477,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400092,367100.203,2258395.549,889.314,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400093,367503.899,2259355.915,889.17,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400094,367503.834,2258531.952,886.091,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400095,367239.11,2258864.98,890.929,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400096,367096.53,2258864.904,891.157,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400097,367239.15,2258866.948,890.88,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400098,367096.485,2258866.826,891.167,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
400099,367507.402,2258825.913,885.444,INV-27-S01.csv,BS_INV-27_T_S01,1/30/2026,,,,,,,,,,
